,Подадена руда  от МГТЛ  за денонощието ,Състояние  на склад №2,Натрошена  руда от  Цех ССТ ,Класа_15,Класа_12,Превозена руда  до междинни бункери,Състояние на междинни бункери,Преработена  руда  в цех МФЦ ,Влага на преработената руда,Суха преработена руда,Грано,Дайки,Шисти,"Смилане   класа + 0,20мм","Смилане   класа -0,08мм",Плътност на пулпа,Съдържание  на мед в рудите по Куриер ,Съдържание  на мед в отпадъка по Куриер ,Съдържание  на мед в медния к-т Куриер,Технологично  извличане по Куриер,Товарно  извличане ,Добит  меден  концентрат,Влага на медния концентрат,Съдържание  на мед в медния к-т,Метал мед  в медния концентрат ,Литрово  тегло  в сгъстителя
0,18262.0,1.0,16060.0,1.4,5.9,16258.0,6.3,16712.0,0.083,15325.0,0.648,0.193,0.159,0.192,0.522,0.39,0.00316,0.00039,0.2087,0.8782234243146625,0.8870418940937191,238.0,0.101,0.2159,46.1943958,1.8
1,18400.0,4.0,16832.0,1.8,5.7,17279.0,5.7,16310.0,0.083,14956.0,0.614,0.277,0.109,0.199,0.521,0.39,0.0032,0.0004,0.2171,0.8766151361329028,0.8868746506116625,231.0,0.097,0.2213,46.161630900000006,1.65
2,15038.0,4.0,16671.0,2.8,6.4,17211.0,6.4,16412.0,0.08,15099.0,0.63,0.294,0.076,0.214,0.507,0.39,0.00321,0.00039,0.2141,0.8801078586275314,0.8809257678585218,210.0,0.096,0.2262,42.941808,1.7
3,17960.0,1.0,15793.0,3.3,5.8,16986.0,5.0,16372.0,0.084,14997.0,0.739,0.179,0.082,0.204,0.51,0.38,0.00311,0.00037,0.2122,0.8825678177595848,0.8806700594107013,202.0,0.099,0.2219,40.3862438,1.7
4,17900.0,3.0,16129.0,3.0,6.2,16818.0,4.8,16145.0,0.083,14805.0,0.698,0.236,0.066,0.189,0.53,0.39,0.00308,0.00036,0.2112,0.8846247662411577,0.8993985523673336,241.0,0.1,0.2161,46.87209,1.7
5,14130.0,4.0,16647.0,3.3,6.0,16772.0,4.4,16162.0,0.08,14869.0,0.589,0.374,0.037,0.184,0.532,0.38,0.00296,0.00035,0.2092,0.883234443445121,0.8958390966552784,222.0,0.103,0.2214,44.08826760000001,1.7
6,16857.0,1.0,15754.0,4.2,4.8,17621.0,4.4,16229.0,0.082,14898.0,0.678,0.279,0.043,0.197,0.522,0.38,0.00282,0.00032,0.2099,0.8878784248672962,0.8851421866017877,187.0,0.095,0.2143,36.2670605,1.65
7,17426.0,5.0,16437.0,7.1,7.5,17513.0,3.3,16177.0,0.083,14834.0,0.7,0.267,0.033,0.183,0.537,0.38,0.00286,0.0003,0.2091,0.8963909653564828,0.8895653836184703,179.0,0.098,0.2193,35.4077394,1.65
8,19817.0,1.0,17632.0,6.7,6.8,17552.0,2.7,16185.0,0.083,14842.0,0.667,0.306,0.027,0.179,0.549,0.39,0.00283,0.00029,0.2165,0.8987303437977376,0.904191432304139,200.0,0.105,0.2239,40.0781,1.7
9,5185.0,0.0,13027.0,3.5,5.2,13355.0,3.6,15906.0,0.074,14729.0,0.77,0.186,0.044,0.187,0.539,0.38,0.00286,0.00027,0.2124,0.9067470501496807,0.9013466501598062,178.0,0.108,0.2261,35.8992536,1.7
10,17945.0,6.0,17250.0,3.3,6.9,17637.0,2.9,16181.0,0.072,15016.0,0.688,0.241,0.071,0.186,0.537,0.38,0.00283,0.00028,0.2119,0.9022522870015358,0.922710941518344,253.0,0.104,0.2178,49.3726464,1.75
11,20670.0,3.0,18026.0,4.3,7.1,18044.0,2.1,16397.0,0.082,15052.0,0.652,0.238,0.11,0.193,0.522,0.39,0.00271,0.00027,0.2111,0.9015220636482796,0.9051016180369549,185.0,0.092,0.2279,38.282642,1.65
12,6200.0,2.0,13594.0,3.1,5.3,14118.0,2.6,16138.0,0.076,14912.0,0.649,0.326,0.025,0.198,0.518,0.39,0.00274,0.00027,0.2055,0.9026458120157872,0.9105617412601114,202.0,0.097,0.2217,40.439410200000005,1.65
13,20883.0,5.0,16237.0,4.6,6.8,17119.0,2.3,16315.0,0.08,15010.0,0.716,0.247,0.037,0.206,0.508,0.39,0.00271,0.00027,0.2072,0.9015437953152063,0.9081185702137211,201.0,0.096,0.2175,39.52062,1.75
14,16517.0,2.0,17406.0,3.1,7.2,17573.0,2.0,16528.0,0.077,15255.0,0.625,0.311,0.064,0.197,0.515,0.39,0.00269,0.00026,0.2027,0.9045059199696787,0.9087742337648348,195.0,0.092,0.2203,39.006318,1.65
15,5600.0,1.0,13001.0,2.8,6.2,13135.0,2.9,16629.0,0.083,15249.0,0.636,0.341,0.023,0.222,0.488,0.39,0.00279,0.00022,0.2023,0.9221497855989464,0.9243244911555103,206.0,0.093,0.2164,40.432608800000004,1.63
16,16995.0,12.0,18821.0,2.7,5.6,18692.0,1.8,16574.0,0.083,15198.0,0.66,0.316,0.024,0.23,0.491,0.39,0.00285,0.00026,0.2031,0.9099367922863756,0.9085286036092829,201.0,0.092,0.2122,38.7281976,1.65
17,20255.0,6.0,17519.0,1.7,5.8,17528.0,1.7,16405.0,0.084,15027.0,0.643,0.328,0.029,0.214,0.505,0.39,0.00284,0.00027,0.2026,0.9061371640111018,0.9110883587579302,209.0,0.091,0.2158,40.9978998,1.65
