,Подадена руда  от МГТЛ  за денонощието ,Състояние  на склад №2,Натрошена  руда от  Цех ССТ ,Класа_15,Класа_12,Превозена руда  до междинни бункери,Преработена  руда  в цех МФЦ ,Влага на преработената руда,Суха преработена руда,Грано,Unnamed: 13,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Метал  мед в рудите по Куриер ,Метал мед в отпадъка по Куриер,Метал мед в концентрата по Куриер,Товарно  извличане ,Добит  меден  концентрат,Влага на медния концентрат,Съдържание  на мед в медния к-т,Метал мед  в медния концентрат ,Литрово  тегло  в сгъстителя,"Меден  концентра, автомобилна везна"
0,18490.0,5.0,14841.0,1.0,3.4,14296.0,14900.0,0.081,13693.1,0.823,11269.4213,1177.6065999999998,1246.0721,2738.6200000000003,7134.105100000001,5340.309,51.349125,3.286344,46.9278172,0.9327114971311602,242.0,0.093,0.2236,49.0788584,1.78,1005.28
1,18200.0,5.0,13394.0,1.3,3.8,13471.0,14960.0,0.074,13852.960000000001,0.819,11345.57424,1122.08976,1385.2960000000003,2687.4742400000005,7258.951040000001,5402.6544,48.48536000000001,3.7402992000000004,54.6902824,0.931962384071972,269.0,0.096,0.2248,54.665964800000005,1.84,1003.94
2,18212.0,7.0,15106.0,1.4,3.7,13885.0,15307.0,0.079,14097.747000000001,0.759,10700.189973,1423.8724470000002,1973.6845800000003,2763.158412,7500.0014040000015,5639.098800000001,51.03384414000001,3.1015043400000004,45.182205,0.9340783301232969,225.0,0.093,0.2318,47.304585,1.75,1002.36
3,18700.0,8.0,15786.0,0.8,4.4,14182.0,13858.0,0.079,12763.218,0.802,10236.100836000001,1403.95398,1123.163184,2693.038998,6407.1354360000005,4977.65502,46.07521698,2.80790796,49.794751600000005,0.9455330601409199,253.0,0.107,0.2313,52.2573777,1.75,983.72
4,19700.0,8.0,13589.0,1.2,3.6,12444.0,13871.0,0.082,12733.578000000001,0.818,10416.066804,1375.2264240000002,942.2847720000001,2648.584224,6672.394872000001,4966.095420000001,47.24157438000001,2.6740513800000003,40.2621552,0.9355533295633915,202.0,0.107,0.2325,41.939745,1.72,917.78
5,18500.0,8.0,14513.0,2.2,3.7,13303.0,15302.0,0.083,14031.934000000001,0.794,11141.355596000001,1080.458918,1810.1194860000003,2806.3868,7268.541812,5472.45426,50.374643060000004,3.0870254800000003,44.3929908,0.9329459745532144,228.0,0.099,0.2261,46.4472708,1.75,1083.92
6,18700.0,8.0,13178.0,1.6,3.5,12816.0,15215.0,0.078,14028.230000000001,0.69,9679.4787,2511.05317,1837.6981300000002,2805.6460000000006,7477.046590000001,5611.292000000001,48.39739350000001,2.9459283000000003,42.674975100000005,0.9344327308409426,219.0,0.089,0.2263,45.148886700000006,1.75,758.46
7,18507.0,8.0,14761.0,1.5,3.7,14010.0,14869.0,0.08,13679.480000000001,0.733,10027.058840000002,1969.84512,1682.5760400000001,2612.7806800000003,7441.637120000001,5334.997200000001,45.27907880000001,3.1462804,36.523578,0.9180788694135794,182.0,0.094,0.2313,38.1395196,1.6,753.8
8,24338.0,9.0,16814.0,1.9,3.8,15821.0,15236.0,0.079,14032.356,0.836,11731.049615999998,1150.653192,1150.653192,2778.406488,7296.82512,5612.9424,49.95518736,3.508089,48.9776375,0.9302360094563078,253.0,0.089,0.2181,50.2683423,1.8,1018.6
9,23594.0,7.0,15186.0,1.5,3.7,14748.0,14679.0,0.089,13372.569000000001,0.65,8692.169850000002,2500.670403,2179.728747,2808.2394900000004,6953.735880000001,5349.027600000001,43.19339787,4.94785053,37.499357700000004,0.8754564112903483,189.0,0.101,0.2246,38.1620106,1.65,1010.98
